internal_accession	sample_name	gb_accession	date_added	seq_accession
PP585429	S1_PP585429_220014315103_C1R5_CLF_FRA_08_03_2022	PP585429	2024-10-18	PP585429
PP585425	S1_PP585425_220034522702_C1R6_PUT_FRA_17_06_2022	PP585425	2024-10-18	PP585425
PP585426	S1_PP585426_220056349502_C1R5_BIS_FRA_17_10_2022	PP585426	2024-10-18	PP585426
PP585427	S1_PP585427_220063498502_C1R5_PUT_FRA_21_11_2022	PP585427	2024-10-18	PP585427
PP585428	S1_PP585428_220068170502_C1R5_PON_FRA_12_12_2022	PP585428	2024-10-18	PP585428
OQ091585	S1_OQ091585_180054825602_C1R5_VIL_FRA_15_11_2018	OQ091585	2024-10-18	OQ091585
OQ091616	S1_OQ091616_210056561801_C1R8_PAR_FRA_16_08_2021	OQ091616	2024-10-18	OQ091616
OQ091597	S1_OQ091597_210068108802_C1R5_PUT_FRA_19_11_2021	OQ091597	2024-10-18	OQ091597
OQ091614	S1_OQ091614_190012246401_C1R6_TOU_FRA_05_03_2019	OQ091614	2024-10-18	OQ091614
OQ091573	S1_OQ091573_190023000201_C1R5_VER_FRA_09_05_2019	OQ091573	2024-10-18	OQ091573
OQ091586	S1_OQ091586_190025277202_C1R5_BRE_FRA_22_05_2019	OQ091586	2024-10-18	OQ091586
OQ091598	S1_OQ091598_190026311702_C1R6_VEB_FRA_30_05_2019	OQ091598	2024-10-18	OQ091598
OQ091578	S1_OQ091578_190027099802_C1R5_BOR_FRA_03_06_2019	OQ091578	2024-10-18	OQ091578
OQ091587	S1_OQ091587_190027101601_C1R5_BRE_FRA_04_06_2019	OQ091587	2024-10-18	OQ091587
OQ091608	S1_OQ091608_190031161302_C1R6_AUB_FRA_26_06_2019	OQ091608	2024-10-18	OQ091608
OQ091599	S1_OQ091599_190031370202_C1R6_MTP_FRA_01_07_2019	OQ091599	2024-10-18	OQ091599
OQ091580	S1_OQ091580_190031430703_C1R5_CHA_FRA_01_07_2018	OQ091580	2024-10-18	OQ091580
OQ091590	S1_OQ091590_190032189602_C1R5_CHR_FRA_02_07_2019	OQ091590	2024-10-18	OQ091590
OQ091576	S1_OQ091576_190032996701_C1R5_VER_FRA_10_07_2019	OQ091576	2024-10-18	OQ091576
OQ091583	S1_OQ091583_190033373602_C1R5_SOY_FRA_25_06_2019	OQ091583	2024-10-18	OQ091583
OQ091615	S1_OQ091615_190033382701_C1R7_PAR_FRA_07_07_2019	OQ091615	2024-10-18	OQ091615
OQ091577	S1_OQ091577_190033738402_C1R5_MAR_FRA_12_07_2019	OQ091577	2024-10-18	OQ091577
OQ091588	S1_OQ091588_190033801602_C1R5_ORL_FRA_09_07_2019	OQ091588	2024-10-18	OQ091588
OQ091610	S1_OQ091610_190033943602_C1R6_ORL_FRA_16_07_2019	OQ091610	2024-10-18	OQ091610
OQ091603	S1_OQ091603_190034094301_C1R6_CLF_FRA_19_07_2019	OQ091603	2024-10-18	OQ091603
OQ091607	S1_OQ091607_190034916401_C1R6_ORL_FRA_19_07_2019	OQ091607	2024-10-18	OQ091607
OQ091584	S1_OQ091584_190035098601_C1R5_TOU_FRA_03_06_2019	OQ091584	2024-10-18	OQ091584
OQ091604	S1_OQ091604_190035104201_C1R6_TOU_FRA_10_07_2019	OQ091604	2024-10-18	OQ091604
OQ091601	S1_OQ091601_190035996201_C1R6_PAR_FRA_17_07_2019	OQ091601	2024-10-18	OQ091601
OQ091579	S1_OQ091579_190036487502_C1R5_CLF_FRA_03_08_2019	OQ091579	2024-10-18	OQ091579
OQ091611	S1_OQ091611_190038932901_C1R6_BAY_FRA_20_08_2019	OQ091611	2024-10-18	OQ091611
OQ091609	S1_OQ091609_190042783001_C1R6_PAR_FRA_02_09_2019	OQ091609	2024-10-18	OQ091609
OQ091582	S1_OQ091582_190043354802_C1R5_SAV_FRA_10_09_2019	OQ091582	2024-10-18	OQ091582
OQ091606	S1_OQ091606_190047245702_C1R6_PAR_FRA_04_10_2019	OQ091606	2024-10-18	OQ091606
OQ091612	S1_OQ091612_190048543102_C1R6_VIC_FRA_15_10_2019	OQ091612	2024-10-18	OQ091612
OQ091605	S1_OQ091605_190049867602_C1R6_PAR_FRA_07_10_2019	OQ091605	2024-10-18	OQ091605
OQ091589	S1_OQ091589_190050240602_C1R5_PUT_FRA_22_10_2019	OQ091589	2024-10-18	OQ091589
OQ091574	S1_OQ091574_190050742201_C1R5_BES_FRA_27_10_2019	OQ091574	2024-10-18	OQ091574
OQ091596	S1_OQ091596_190052161302_C1R5_FUV_FRA_27_05_2019	OQ091596	2024-10-18	OQ091596
OQ091602	S1_OQ091602_190053814002_C1R6_VER_FRA_06_11_2019	OQ091602	2024-10-18	OQ091602
OQ091613	S1_OQ091613_190056852201_C1R6_CLF_FRA_06_12_2019	OQ091613	2024-10-18	OQ091613
OQ091600	S1_OQ091600_190057539001_C1R6_TOU_FRA_21_09_2019	OQ091600	2024-10-18	OQ091600
OQ091581	S1_OQ091581_180021297002_C1R5_PUT_FRA_25_04_2018	OQ091581	2024-10-18	OQ091581
OQ091593	S1_OQ091593_3170520021_C1R5_TOU_FRA_21_02_2017	OQ091593	2024-10-18	OQ091593
OQ091591	S1_OQ091591_3170060071_C1R5_VER_FRA_05_12_2016	OQ091591	2024-10-18	OQ091591
OQ091575	S1_OQ091575_190031812802_C1R5_CLF_FRA_05_07_2019	OQ091575	2024-10-18	OQ091575
OQ026332	S1_OQ026332_3172360461_C1R5_COC_FRA_13_07_2017	OQ026332	2024-10-18	OQ026332
OQ026333	S1_OQ026333_170050125902_C1R5_MTS_FRA_03_07_2017	OQ026333	2024-10-18	OQ026333
OQ026335	S1_OQ026335_170043237202_C1R5_PLE_FRA_29_05_2017	OQ026335	2024-10-18	OQ026335
OQ026325	S1_OQ026325_180054826202_C1R6_ESS_FRA_19_11_2018	OQ026325	2024-10-18	OQ026325
OQ026326	S1_OQ026326_180054043101_C1R6_AMI_FRA_09_10_2018	OQ026326	2024-10-18	OQ026326
OQ026324	S1_OQ026324_180051161202_C1R6_NOG_FRA_15_10_2018	OQ026324	2024-10-18	OQ026324
OQ026334	S1_OQ026334_180031473702_C1R5_CHR_FRA_29_06_2018	OQ026334	2024-10-18	OQ026334
OQ026331	S1_OQ026331_180027462502_C1R6_MET_FRA_05_06_2018	OQ026331	2024-10-18	OQ026331
OQ026330	S1_OQ026330_180027462102_C1R6_MET_FRA_05_06_2018	OQ026330	2024-10-18	OQ026330
OQ026329	S1_OQ026329_180027461802_C1R6_MET_FRA_06_06_2018	OQ026329	2024-10-18	OQ026329
OQ026328	S1_OQ026328_180023322702_C1R6_MET_FRA_23_03_2018	OQ026328	2024-10-18	OQ026328
OQ026327	S1_OQ026327_180023322602_C1R6_MET_FRA_14_05_2018	OQ026327	2024-10-18	OQ026327
LR027546	S1_LR027546.1_3163020011_C1R5_AMI_FRA_20_10_2016	LR027546	2024-10-18	LR027546
OQ091594	S1_OQ091594_3162860301_C1R5_CLF_FRA_04_10_2016	OQ091594	2024-10-18	OQ091594
OQ091630	S1_OQ091630_316286052_C2_COC_FRA_28_09_2016	OQ091630	2024-10-18	OQ091630
OQ091640	S1_OQ091640_316287005_C2_BRE_FRA_11_10_2016	OQ091640	2024-10-18	OQ091640
