,accession,strain
0,PP585429,S1_PP585429_220014315103_C1R5_CLF_FRA_08_03_2022
1,PP585425,S1_PP585425_220034522702_C1R6_PUT_FRA_17_06_2022
2,PP585426,S1_PP585426_220056349502_C1R5_BIS_FRA_17_10_2022
3,PP585427,S1_PP585427_220063498502_C1R5_PUT_FRA_21_11_2022
4,PP585428,S1_PP585428_220068170502_C1R5_PON_FRA_12_12_2022
5,OQ091585,S1_OQ091585_180054825602_C1R5_VIL_FRA_15_11_2018
6,OQ091616,S1_OQ091616_210056561801_C1R8_PAR_FRA_16_08_2021
7,OQ091597,S1_OQ091597_210068108802_C1R5_PUT_FRA_19_11_2021
8,OQ091614,S1_OQ091614_190012246401_C1R6_TOU_FRA_05_03_2019
9,OQ091573,S1_OQ091573_190023000201_C1R5_VER_FRA_09_05_2019
10,OQ091586,S1_OQ091586_190025277202_C1R5_BRE_FRA_22_05_2019
11,OQ091598,S1_OQ091598_190026311702_C1R6_VEB_FRA_30_05_2019
12,OQ091578,S1_OQ091578_190027099802_C1R5_BOR_FRA_03_06_2019
13,OQ091587,S1_OQ091587_190027101601_C1R5_BRE_FRA_04_06_2019
14,OQ091608,S1_OQ091608_190031161302_C1R6_AUB_FRA_26_06_2019
15,OQ091599,S1_OQ091599_190031370202_C1R6_MTP_FRA_01_07_2019
16,OQ091580,S1_OQ091580_190031430703_C1R5_CHA_FRA_01_07_2018
17,OQ091590,S1_OQ091590_190032189602_C1R5_CHR_FRA_02_07_2019
18,OQ091576,S1_OQ091576_190032996701_C1R5_VER_FRA_10_07_2019
19,OQ091583,S1_OQ091583_190033373602_C1R5_SOY_FRA_25_06_2019
20,OQ091615,S1_OQ091615_190033382701_C1R7_PAR_FRA_07_07_2019
21,OQ091577,S1_OQ091577_190033738402_C1R5_MAR_FRA_12_07_2019
22,OQ091588,S1_OQ091588_190033801602_C1R5_ORL_FRA_09_07_2019
23,OQ091610,S1_OQ091610_190033943602_C1R6_ORL_FRA_16_07_2019
24,OQ091603,S1_OQ091603_190034094301_C1R6_CLF_FRA_19_07_2019
25,OQ091607,S1_OQ091607_190034916401_C1R6_ORL_FRA_19_07_2019
26,OQ091584,S1_OQ091584_190035098601_C1R5_TOU_FRA_03_06_2019
27,OQ091604,S1_OQ091604_190035104201_C1R6_TOU_FRA_10_07_2019
28,OQ091601,S1_OQ091601_190035996201_C1R6_PAR_FRA_17_07_2019
29,OQ091579,S1_OQ091579_190036487502_C1R5_CLF_FRA_03_08_2019
30,OQ091611,S1_OQ091611_190038932901_C1R6_BAY_FRA_20_08_2019
31,OQ091609,S1_OQ091609_190042783001_C1R6_PAR_FRA_02_09_2019
32,OQ091582,S1_OQ091582_190043354802_C1R5_SAV_FRA_10_09_2019
33,OQ091606,S1_OQ091606_190047245702_C1R6_PAR_FRA_04_10_2019
34,OQ091612,S1_OQ091612_190048543102_C1R6_VIC_FRA_15_10_2019
35,OQ091605,S1_OQ091605_190049867602_C1R6_PAR_FRA_07_10_2019
36,OQ091589,S1_OQ091589_190050240602_C1R5_PUT_FRA_22_10_2019
37,OQ091574,S1_OQ091574_190050742201_C1R5_BES_FRA_27_10_2019
38,OQ091596,S1_OQ091596_190052161302_C1R5_FUV_FRA_27_05_2019
39,OQ091602,S1_OQ091602_190053814002_C1R6_VER_FRA_06_11_2019
40,OQ091613,S1_OQ091613_190056852201_C1R6_CLF_FRA_06_12_2019
41,OQ091600,S1_OQ091600_190057539001_C1R6_TOU_FRA_21_09_2019
42,OQ091581,S1_OQ091581_180021297002_C1R5_PUT_FRA_25_04_2018
43,OQ091593,S1_OQ091593_3170520021_C1R5_TOU_FRA_21_02_2017
44,OQ091591,S1_OQ091591_3170060071_C1R5_VER_FRA_05_12_2016
45,OQ091575,S1_OQ091575_190031812802_C1R5_CLF_FRA_05_07_2019
46,OQ026332,S1_OQ026332_3172360461_C1R5_COC_FRA_13_07_2017
47,OQ026333,S1_OQ026333_170050125902_C1R5_MTS_FRA_03_07_2017
48,OQ026335,S1_OQ026335_170043237202_C1R5_PLE_FRA_29_05_2017
49,OQ026325,S1_OQ026325_180054826202_C1R6_ESS_FRA_19_11_2018
50,OQ026326,S1_OQ026326_180054043101_C1R6_AMI_FRA_09_10_2018
51,OQ026324,S1_OQ026324_180051161202_C1R6_NOG_FRA_15_10_2018
52,OQ026334,S1_OQ026334_180031473702_C1R5_CHR_FRA_29_06_2018
53,OQ026331,S1_OQ026331_180027462502_C1R6_MET_FRA_05_06_2018
54,OQ026330,S1_OQ026330_180027462102_C1R6_MET_FRA_05_06_2018
55,OQ026329,S1_OQ026329_180027461802_C1R6_MET_FRA_06_06_2018
56,OQ026328,S1_OQ026328_180023322702_C1R6_MET_FRA_23_03_2018
57,OQ026327,S1_OQ026327_180023322602_C1R6_MET_FRA_14_05_2018
58,LR027546,S1_LR027546.1_3163020011_C1R5_AMI_FRA_20_10_2016
59,OQ091594,S1_OQ091594_3162860301_C1R5_CLF_FRA_04_10_2016
60,OQ091630,S1_OQ091630_316286052_C2_COC_FRA_28_09_2016
61,OQ091640,S1_OQ091640_316287005_C2_BRE_FRA_11_10_2016
62,OQ091641,S1_OQ091641_316299004_C2_BRE_FRA_11_10_2016
63,OQ091633,S1_OQ091633_316300020_C2_CRA_FRA_24_10_2016
64,OQ091636,S1_OQ091636_316301003_C2_COC_FRA_07_10_2016
65,LR027531,S1_LR027531.1_316302002_C1R5_AMI_FRA_18_10_2016
66,OQ091627,S1_OQ091627_316302008_C2_AMI_FRA_20_10_2016
67,OQ091631,S1_OQ091631_316307009_C2_TOU_FRA_28_07_2016
68,OQ091632,S1_OQ091632_316307018_C2_TOU_FRA_13_08_2016
69,LR027522,S1_LR027522.1_316307017_C1R5_TOU_FRA_10_08_2016
70,LR027521,S1_LR027521.1_316307016_C1R5_TOU_FRA_10_08_2016
71,LR027527,S1_LR027527.1_316148153_C1R5_TOU_FRA_03_05_2016
72,LR027532,S1_LR027532.1_316307036_C1R5_TOU_FRA_11_10_2016
73,LR027529,S1_LR027529.1_316180009_C1R5_BAY_FRA_24_06_2016
74,LR027524,S1_LR027524.1_316250102_C1R5_MIR_FRA_30_08_2016
75,LR027538,S1_LR027538.1_316286036_C1R5_VSV_FRA_04_10_2016
76,LR027537,S1_LR027537.1_316286034_C1R5_VSV_FRA_04_10_2016
77,LR027536,S1_LR027536.1_316286032_C1R5_VSV_FRA_04_10_2016
78,LR027534,S1_LR027534.1_316263109_C1R5_TOU_FRA_14_09_2016
79,LR027525,S1_LR027525.1_316259064_C1R5_COC_FRA_05_09_2016
80,LR027539,S1_LR027539.1_17501259_C1R5_MTS_FRA_03_07_2017
81,LR027533,S1_LR027533.1_316286037_C1R4_PAR_FRA_27_09_2016
82,LR027528,S1_LR027528.1_316238077_C1R5_COC_FRA_11_08_2016
83,OQ091629,S1_OQ091629_316194129_C2_AMI_FRA_30_06_2016
84,OQ091639,S1_OQ091639_316190108_C2_BRE_FRA_05_07_2016
85,OQ091638,S1_OQ091638_316190107_C2_POI_FRA_05_07_2016
86,OQ091643,S1_OQ091643_316190103_C2_SEB_FRA_05_07_2016
87,OQ091637,S1_OQ091637_316174142_C2_COC_FRA_10_06_2016
88,OQ091635,S1_OQ091635_316323006_C2_VER_FRA_02_11_2016
89,OQ091642,S1_OQ091642_316310001_C2_BRE_FRA_25_10_2016
90,PP548276,S1_PP548276_3170520261_C1R5_TOU_FRA_14_12_2017
91,PP548277,S1_PP548277_190033383501_C1R6_PAR_FRA_10_07_2019_
92,PP548278,S1_PP548278_3171840071_C1R5_TOU_FRA_22_03_2017
93,PP548279,S1_PP548279_3161620631_C2_CLF_FRA_07_06_2016_
94,PP548280,S1_PP548280_180052732702_C1R5_CLA_FRA_31_10_2018
95,LR027523,S1_LR027523.1_3162501011_C1R5_MIR_FRA_30_08_2016
96,LR027526,S1_LR027526.1_3163070231_C1R5_TOU_FRA_07_09_2016
97,PQ284300,S1_PQ284300
98,MK111402,S33_MK111402_795_C1An_LIM_CYP_02_09_2016
99,MK111405,S33_MK111405_916_C1R5_LIM_CYP_16_10_2017
100,PQ284501,S27_PQ284501_292_C1R5_LIB_CZE_22_07_2019
101,PQ284502,S27_PQ284502_401_C1R9_OLO_CZE_23_08_2018
102,PQ284503,S27_PQ284503_402_C1R9_OLO_CZE_23_08_2018
103,PQ284504,S27_PQ284504_656_C1An_PLZ_CZE_04_10_2016
104,PQ284430,S23_PQ284430_HUVH25863_C2_BAR_ESP_28_5_2016
105,PQ284431,S23_PQ284431_HUVH75020_C1R5_BAR_ESP_25_9_2016
106,PQ284432,S23_PQ284432_HUVH42668_C1R5_BAR_ESP_28_6_2016
107,PQ284433,S23_PQ284433_HUVH19873_C1R5_BAR_ESP_18_5_2016
108,PQ284434,S23_PQ284434_HUVH16244_C1R5_BAR_ESP_11_5_2016
109,PQ284435,S23_PQ284435_HUVH24479_C1R5_BAR_ESP_25_5_2016
110,PQ284436,S23_PQ284436_HUVH24826_C1R5_BAR_ESP_26_5_2016
111,PQ284437,S23_PQ284437_HUVH27800_C1R5_BAR_ESP_31_5_2016
112,PQ284438,S23_PQ284438_HUVH19320_C1R5_BAR_ESP_18_5_2016
113,PQ284439,S23_PQ284439_HUVH33719_C1R5_BAR_ESP_10_6_2016
114,PQ284440,S23_PQ284440_HUVH20311_C1R5_BAR_ESP_18_5_2016
115,PQ284441,S23_PQ284441_HUVH21667_C1R5_BAR_ESP_20_5_2016
116,PQ284442,S23_PQ284442_HUVH24346_C1R5_BAR_ESP_26_5_2016
117,PQ284443,S23_PQ284443_HUVH20361_C1R5_BAR_ESP_18_5_2016
118,PQ284444,S23_PQ284444_HUVH16864_C1R5_BAR_ESP_12_5_2016
119,PQ284445,S23_PQ284445_HUVH18902_C1R5_BAR_ESP_13_5_2016
120,PQ284446,S23_PQ284446_HUVH16005_C1R5_BAR_ESP_10_5_2016
121,PQ284447,S23_PQ284447_HUVH27854_C1R5_BAR_ESP_1_6_2016
122,PQ284448,S23_PQ284448_HUVH16309_C1R5_BAR_ESP_11_5_2016
123,PQ284449,S23_PQ284449_HUVH25514_C1R5_BAR_ESP_13_4_2018
124,PQ284450,S23_PQ284450_HUVH80884_C1R5_BAR_ESP_1_11_2019
125,PQ284429,S23_PQ284429_HUVH91612_C1R6_BAR_ESP_25_2_2019
126,PQ284497,S36_PQ284497_2109059655_C1R5_RIG_LVA_17_9_2021
127,PQ284498,S36_PQ284498_2108079811_C1R5_RIG_LVA_10_9_2021
